,Entry Index,Avg Entry Price,PnL,Direction,Status,tick_volume,atr
0,2022-11-01 00:10:00,0.98755,1,Long,Closed,6,0.0003046405485436448
1,2022-11-01 01:45:00,0.98846,0,Short,Closed,72,0.00018699900416736752
2,2022-11-01 07:05:00,0.99019,0,Short,Closed,326,0.00036359214405873216
3,2022-11-01 10:35:00,0.99161,1,Long,Closed,631,0.0005760489157666712
4,2022-11-07 00:40:00,0.99137,1,Long,Closed,154,0.0006348083673986449
5,2022-11-07 01:25:00,0.99371,1,Short,Closed,198,0.0008377864198124079
6,2022-11-07 03:40:00,0.99366,1,Long,Closed,475,0.0006279514271757257
7,2022-11-07 04:50:00,0.99336,0,Short,Closed,301,0.0005160424090490895
8,2022-11-07 09:15:00,0.99383,0,Long,Closed,510,0.00048511297976439993
9,2022-11-07 10:30:00,0.9959,0,Short,Closed,930,0.0007736016557723978
10,2022-11-08 00:25:00,1.00175,1,Long,Closed,9,0.0002272326409953695
11,2022-11-08 01:25:00,1.00177,1,Short,Closed,132,0.00022594848957867368
12,2022-11-08 04:05:00,1.00123,0,Long,Closed,287,0.00034199618253330375
13,2022-11-09 01:30:00,1.00791,1,Short,Closed,214,0.00032798268201516406
14,2022-11-09 02:40:00,1.00706,1,Long,Closed,197,0.0003823770431761337
15,2022-11-09 04:30:00,1.00753,1,Short,Closed,422,0.0003990335148691607
16,2022-11-09 05:50:00,1.00773,1,Long,Closed,225,0.00043570045926659466
17,2022-11-09 10:20:00,1.00785,1,Short,Closed,663,0.0005853200483089434
18,2022-11-14 00:40:00,1.0322,1,Long,Closed,25,0.000586044086199496
19,2022-11-14 01:45:00,1.033,1,Short,Closed,293,0.0006022077743402116
20,2022-11-14 06:45:00,1.03119,1,Long,Closed,282,0.0005031887482331781
21,2022-11-14 09:15:00,1.03175,1,Short,Closed,462,0.0004804563882925641
22,2022-11-18 00:15:00,1.03604,1,Long,Closed,4,0.00032854479184981456
23,2022-11-18 02:40:00,1.03673,1,Short,Closed,198,0.00027413158773891856
24,2022-11-18 04:00:00,1.03677,1,Long,Closed,522,0.0003867117700635642
25,2022-11-18 04:20:00,1.0371,0,Short,Closed,213,0.0004146242415864805
26,2022-11-18 07:10:00,1.03658,1,Long,Closed,190,0.00040689666588960324
27,2022-11-18 08:10:00,1.0366,1,Short,Closed,259,0.00040449231466330914
28,2022-11-18 10:35:00,1.03516,1,Long,Closed,527,0.0007037489011762988
29,2022-11-21 01:25:00,1.03269,1,Short,Closed,316,0.0002396133531275552
30,2022-11-21 02:50:00,1.03189,0,Long,Closed,430,0.0003394528468000165
31,2022-11-21 06:20:00,1.0297,1,Short,Closed,268,0.0004076776834110463
32,2022-11-21 07:05:00,1.02774,0,Long,Closed,342,0.00047525142977520506
33,2022-11-22 00:50:00,1.02413,0,Short,Closed,79,0.00022579313384981362
34,2022-11-22 06:20:00,1.02598,1,Long,Closed,145,0.00028376415301972064
35,2022-11-22 10:10:00,1.0256,0,Short,Closed,537,0.0005177703309374116
36,2022-11-23 01:05:00,1.03038,0,Short,Closed,147,0.000171968688880472
37,2022-11-23 03:10:00,1.03102,0,Long,Closed,212,0.00028964217500501433
38,2022-11-23 04:10:00,1.03102,0,Short,Closed,225,0.0003755038399118086
39,2022-11-23 06:15:00,1.0314,1,Long,Closed,85,0.00035314563976874874
40,2022-11-23 07:40:00,1.03241,1,Short,Closed,179,0.00036262028475313597
41,2022-11-24 01:40:00,1.04135,0,Short,Closed,203,0.0003989609686879801
42,2022-11-24 08:10:00,1.04328,0,Long,Closed,256,0.00040594317680686995
43,2022-11-25 00:10:00,1.04087,1,Long,Closed,6,0.00022632686010908327
44,2022-11-25 03:40:00,1.04074,0,Short,Closed,246,0.00038106996188075717
45,2022-11-25 07:40:00,1.04124,1,Long,Closed,179,0.00033214807022080513
46,2022-11-25 09:00:00,1.04205,1,Short,Closed,338,0.00035314501463434546
47,2022-11-25 10:10:00,1.04161,1,Long,Closed,489,0.0004668402726561654
48,2022-11-25 10:35:00,1.04218,1,Short,Closed,307,0.000510702005405712
49,2022-11-28 00:15:00,1.03759,1,Long,Closed,16,0.0005421599029751648
50,2022-11-28 02:40:00,1.03792,1,Short,Closed,299,0.0004260571739625087
51,2022-11-28 04:05:00,1.03451,1,Long,Closed,294,0.000515822967702601
52,2022-11-28 04:55:00,1.03598,1,Short,Closed,234,0.0005267488692345752
53,2022-11-28 07:40:00,1.03522,1,Long,Closed,161,0.00036478764318249537
54,2022-11-28 09:35:00,1.03723,0,Short,Closed,380,0.00047571513282909016
55,2022-12-05 00:10:00,1.05349,1,Long,Closed,4,0.0004480766130693788
56,2022-12-05 04:05:00,1.05631,0,Short,Closed,354,0.00046142379332425165
57,2022-12-05 08:25:00,1.05729,0,Long,Closed,203,0.00034990981077799273
